c,e,loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std
1,0.2,5,0.05,majority_voting,abraham_decision,0.5,0.5,211.648,2.925,0.104,0.014,0.923,0.024,0.587,0.029
1,0.2,5,0.05,majority_voting,abraham_decision,0.3,0.5,211.611,3.41,0.101,0.014,0.929,0.024,0.586,0.03
1,0.2,5,0.05,majority_voting,abraham_decision,0.1,0.5,211.823,3.183,0.098,0.015,0.935,0.022,0.589,0.035
1,0.25,5,0.05,majority_voting,abraham_decision,0.5,0.5,150.0,0.0,0.218,0.021,0.848,0.034,0.375,0.02
1,0.25,5,0.05,majority_voting,abraham_decision,0.3,0.5,150.0,0.0,0.216,0.021,0.85,0.034,0.376,0.021
1,0.25,5,0.05,majority_voting,abraham_decision,0.1,0.5,150.0,0.0,0.224,0.02,0.835,0.037,0.373,0.023
1,0.3,5,0.05,majority_voting,abraham_decision,0.5,0.5,150.0,0.0,0.217,0.021,0.847,0.033,0.377,0.021
1,0.3,5,0.05,majority_voting,abraham_decision,0.3,0.5,150.0,0.0,0.223,0.022,0.834,0.038,0.374,0.021
1,0.3,5,0.05,majority_voting,abraham_decision,0.1,0.5,150.0,0.0,0.217,0.025,0.846,0.042,0.377,0.023
2,0.2,5,0.05,majority_voting,abraham_decision,0.5,0.5,382.874,9.458,0.027,0.007,0.981,0.011,0.852,0.032
2,0.2,5,0.05,majority_voting,abraham_decision,0.3,0.5,383.333,11.994,0.026,0.007,0.98,0.013,0.863,0.028
2,0.2,5,0.05,majority_voting,abraham_decision,0.1,0.5,381.908,9.43,0.027,0.006,0.981,0.01,0.851,0.027
2,0.25,5,0.05,majority_voting,abraham_decision,0.5,0.5,341.884,9.925,0.031,0.008,0.978,0.013,0.832,0.03
2,0.25,5,0.05,majority_voting,abraham_decision,0.3,0.5,340.988,8.676,0.031,0.008,0.98,0.014,0.828,0.03
2,0.25,5,0.05,majority_voting,abraham_decision,0.1,0.5,342.674,9.6,0.033,0.009,0.976,0.015,0.823,0.031
2,0.3,5,0.05,majority_voting,abraham_decision,0.5,0.5,310.46,8.045,0.039,0.008,0.974,0.013,0.791,0.033
2,0.3,5,0.05,majority_voting,abraham_decision,0.3,0.5,311.939,8.823,0.042,0.011,0.969,0.017,0.783,0.038
2,0.3,5,0.05,majority_voting,abraham_decision,0.1,0.5,314.445,8.143,0.042,0.009,0.968,0.016,0.792,0.033
3,0.2,5,0.05,majority_voting,abraham_decision,0.5,0.5,910.189,19.103,0.0,0.0,1.0,0.0,0.999,0.002
3,0.2,5,0.05,majority_voting,abraham_decision,0.3,0.5,910.8,22.264,0.0,0.0,1.0,0.0,0.999,0.003
3,0.2,5,0.05,majority_voting,abraham_decision,0.1,0.5,906.969,20.33,0.0,0.001,1.0,0.001,1.0,0.001
3,0.25,5,0.05,majority_voting,abraham_decision,0.5,0.5,785.242,19.505,0.0,0.001,0.999,0.002,0.998,0.004
3,0.25,5,0.05,majority_voting,abraham_decision,0.3,0.5,777.575,15.541,0.0,0.001,1.0,0.002,0.997,0.005
3,0.25,5,0.05,majority_voting,abraham_decision,0.1,0.5,776.986,19.277,0.001,0.001,1.0,0.002,0.996,0.006
3,0.3,5,0.05,majority_voting,abraham_decision,0.5,0.5,719.441,16.46,0.001,0.001,0.999,0.003,0.997,0.006
3,0.3,5,0.05,majority_voting,abraham_decision,0.3,0.5,722.652,16.428,0.001,0.001,0.999,0.002,0.996,0.006
3,0.3,5,0.05,majority_voting,abraham_decision,0.1,0.5,722.078,16.0,0.001,0.001,0.999,0.002,0.994,0.008
