dataset,items,loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std,f1,f1_std,fbeta,fbeta_std
RTE,800,5,0.05,majority_voting,decision_function_bayes,0.5,0.7,120.0,0.0,0.208,0.03,0.929,0.013,0.939,0.009,0.933973233404711,0,0.9293806752991315,0
RTE,800,5,0.05,majority_voting,decision_function_bayes,0.5,0.8,120.0,0.0,0.203,0.032,0.933,0.012,0.93,0.012,0.9314975845410629,0,0.9328842575362859,0
RTE,800,5,0.05,majority_voting,decision_function_bayes,0.5,0.9,189.455,2.363,0.021,0.011,0.993,0.004,0.994,0.004,0.9934997483643683,0,0.9930384243315405,0
RTE,800,5,0.05,majority_voting,decision_function_bayes,0.5,0.95,214.33,7.13,0.012,0.007,0.996,0.003,0.996,0.004,0.996,0,0.9960000000000001,0
SpamCF,101,5,0.05,majority_voting,decision_function_bayes,0.3069306930693069,0.7,16.33,3.54,0.472,0.151,0.777,0.086,0.649,0.075,0.7072552594670407,0,0.7711503352546759,0
SpamCF,101,5,0.05,majority_voting,decision_function_bayes,0.3069306930693069,0.8,39.13,5.291,0.131,0.063,0.948,0.039,0.852,0.047,0.89744,0,0.9439093851132685,0
SpamCF,101,5,0.05,majority_voting,decision_function_bayes,0.3069306930693069,0.9,55.72,5.645,0.106,0.062,0.961,0.043,0.873,0.082,0.9148887677208287,0,0.9572885982620908,0
SpamCF,101,5,0.05,majority_voting,decision_function_bayes,0.3069306930693069,0.95,61.905,7.104,0.121,0.038,0.948,0.021,0.877,0.041,0.911118904109589,0,0.9450573164866872,0
TEMP,462,5,0.05,majority_voting,decision_function_bayes,0.4393939393939394,0.7,69.3,0.0,0.165,0.035,0.94,0.014,0.926,0.02,0.9329474812433011,0,0.9394537152345369,0
TEMP,462,5,0.05,majority_voting,decision_function_bayes,0.4393939393939394,0.8,69.3,0.0,0.172,0.051,0.937,0.024,0.923,0.008,0.929947311827957,0,0.9364536898217557,0
TEMP,462,5,0.05,majority_voting,decision_function_bayes,0.4393939393939394,0.9,107.6,3.512,0.013,0.006,0.995,0.003,0.994,0.004,0.9944997486173957,0,0.9949615012574966,0
TEMP,462,5,0.05,majority_voting,decision_function_bayes,0.4393939393939394,0.95,121.245,5.13,0.016,0.012,0.994,0.005,0.995,0.005,0.9944997486173957,0,0.9940384243689359,0
BarzanMozafari,1000,5,0.05,majority_voting,decision_function_bayes,0.491,0.7,150.0,0.0,0.69,0.032,0.767,0.012,0.761,0.017,0.763988219895288,0,0.7667674818108329,0
BarzanMozafari,1000,5,0.05,majority_voting,decision_function_bayes,0.491,0.8,442.995,18.181,0.198,0.017,0.932,0.008,0.936,0.011,0.9339957173447538,0,0.932153213874733,0
BarzanMozafari,1000,5,0.05,majority_voting,decision_function_bayes,0.491,0.9,548.685,15.934,0.13,0.021,0.96,0.007,0.936,0.012,0.9478481012658229,0,0.9590541871921182,0
BarzanMozafari,1000,5,0.05,majority_voting,decision_function_bayes,0.491,0.95,640.6,23.295,0.139,0.019,0.955,0.008,0.944,0.009,0.9494681411269088,0,0.9545721848910608,0
WVSCM,160,5,0.05,majority_voting,decision_function_bayes,0.3625,0.7,30.27,12.546,0.589,0.115,0.764,0.048,0.636,0.064,0.6941485714285714,0,0.7581315410465675,0
WVSCM,160,5,0.05,majority_voting,decision_function_bayes,0.3625,0.8,77.6,8.355,0.221,0.068,0.917,0.032,0.826,0.049,0.8691244979919679,0,0.9131308016877636,0
WVSCM,160,5,0.05,majority_voting,decision_function_bayes,0.3625,0.9,104.415,11.41,0.177,0.074,0.94,0.036,0.836,0.045,0.8849549549549549,0,0.9355238095238095,0
WVSCM,160,5,0.05,majority_voting,decision_function_bayes,0.3625,0.95,126.5,12.496,0.161,0.074,0.943,0.039,0.857,0.028,0.8979455555555556,0,0.9393743741058654,0
