dataset,items,votes,loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std,f1,f1_std,fbeta,fbeta_std
BarzanMozafari,1000,3,5,0.05,majority_voting,majority_voting,0.491,0.5,150.0,0.0,0.672,0.045,0.773,0.019,0.768,0.015,0.7704918883841663,0,0.7728064887598258,0
BarzanMozafari,1000,5,5,0.05,majority_voting,majority_voting,0.491,0.5,250.0,0.0,0.513,0.041,0.825,0.015,0.828,0.017,0.8264972776769509,0,0.8251149825783971,0
BarzanMozafari,1000,7,5,0.05,majority_voting,majority_voting,0.491,0.5,350.0,0.0,0.419,0.041,0.857,0.015,0.859,0.018,0.8579988344988345,0,0.857076750850797,0
BarzanMozafari,1000,10,5,0.05,majority_voting,majority_voting,0.491,0.5,500.0,0.0,0.227,0.024,0.943,0.01,0.843,0.011,0.8902004479283313,0,0.9387171405213915,0
RTE,800,3,5,0.05,majority_voting,majority_voting,0.5,0.5,120.0,0.0,0.232,0.036,0.922,0.013,0.927,0.009,0.924493239588967,0,0.9221913101215918,0
RTE,800,5,5,0.05,majority_voting,majority_voting,0.5,0.5,200.0,0.0,0.097,0.021,0.968,0.008,0.967,0.008,0.9674997416020672,0,0.9679615002187487,0
RTE,800,7,5,0.05,majority_voting,majority_voting,0.5,0.5,280.0,0.0,0.051,0.018,0.983,0.007,0.982,0.004,0.9824997455470739,0,0.9829615008028825,0
RTE,800,10,5,0.05,majority_voting,majority_voting,0.5,0.5,400.0,0.0,0.013,0.006,0.998,0.002,0.986,0.004,0.9919637096774194,0,0.9975330630068621,0
SpamCF,101,3,5,0.05,majority_voting,majority_voting,0.3069306930693069,0.5,15.15,0.0,0.477,0.114,0.803,0.074,0.586,0.046,0.6775493160547156,0,0.7917238076748851,0
SpamCF,101,5,5,0.05,majority_voting,majority_voting,0.3069306930693069,0.5,25.25,0.0,0.422,0.089,0.803,0.06,0.675,0.043,0.7334573748308525,0,0.7971857676207715,0
SpamCF,101,7,5,0.05,majority_voting,majority_voting,0.3069306930693069,0.5,35.35,0.0,0.282,0.108,0.874,0.064,0.751,0.048,0.8078449230769231,0,0.8685288818769404,0
SpamCF,101,10,5,0.05,majority_voting,majority_voting,0.3069306930693069,0.5,50.5,0.0,0.18,0.067,0.961,0.032,0.713,0.054,0.8186296296296296,0,0.9483135313531353,0
TEMP,462,3,5,0.05,majority_voting,majority_voting,0.4393939393939394,0.5,69.3,0.0,0.179,0.039,0.935,0.017,0.919,0.017,0.9269309600862999,0,0.9343743203680469,0
TEMP,462,5,5,0.05,majority_voting,majority_voting,0.4393939393939394,0.5,115.5,0.0,0.078,0.026,0.972,0.013,0.964,0.009,0.9679834710743801,0,0.9716898532227186,0
TEMP,462,7,5,0.05,majority_voting,majority_voting,0.4393939393939394,0.5,161.7,0.0,0.041,0.02,0.985,0.008,0.98,0.008,0.9824936386768448,0,0.9848067490680793,0
TEMP,462,10,5,0.05,majority_voting,majority_voting,0.4393939393939394,0.5,231.0,0.0,0.011,0.01,0.998,0.003,0.986,0.006,0.9919637096774194,0,0.9975330630068621,0
WVSCM,160,3,5,0.05,majority_voting,majority_voting,0.3625,0.5,24.0,0.0,0.681,0.138,0.719,0.079,0.603,0.031,0.655910741301059,0,0.7137192604786627,0
WVSCM,160,5,5,0.05,majority_voting,majority_voting,0.3625,0.5,40.0,0.0,0.526,0.087,0.788,0.048,0.671,0.039,0.7248087731322825,0,0.7827505551443376,0
WVSCM,160,7,5,0.05,majority_voting,majority_voting,0.3625,0.5,56.0,0.0,0.471,0.104,0.805,0.057,0.714,0.045,0.756774193548387,0,0.8010731707317075,0
WVSCM,160,10,5,0.05,majority_voting,majority_voting,0.3625,0.5,80.0,0.0,0.276,0.049,0.931,0.027,0.691,0.025,0.7932441430332924,0,0.9187271229265077,0
