loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std
5,0.1,majority_voting,decision_function_mv,0.5,0.94,300.38,0.183,0.334,0.013,0.983,0.005,0.628,0.007
5,0.1,majority_voting,decision_function_mv,0.5,0.96,300.29,0.25,0.328,0.024,0.984,0.008,0.63,0.008
5,0.1,majority_voting,decision_function_mv,0.5,0.98,300.117,0.06,0.331,0.017,0.984,0.005,0.63,0.009
5,0.05,majority_voting,decision_function_mv,0.5,0.94,244.21,3.625,0.324,0.022,0.984,0.007,0.634,0.009
5,0.05,majority_voting,decision_function_mv,0.5,0.96,220.822,5.11,0.327,0.017,0.982,0.006,0.634,0.009
5,0.05,majority_voting,decision_function_mv,0.5,0.98,196.747,2.502,0.328,0.016,0.983,0.005,0.632,0.01
5,0.1,majority_voting,decision_function_mv,0.3,0.94,300.4,0.279,0.429,0.014,0.984,0.006,0.422,0.007
5,0.1,majority_voting,decision_function_mv,0.3,0.96,300.24,0.122,0.426,0.016,0.984,0.006,0.423,0.008
5,0.1,majority_voting,decision_function_mv,0.3,0.98,300.14,0.042,0.427,0.014,0.985,0.008,0.422,0.007
5,0.05,majority_voting,decision_function_mv,0.3,0.94,242.875,2.986,0.414,0.013,0.986,0.006,0.429,0.006
5,0.05,majority_voting,decision_function_mv,0.3,0.96,221.255,5.124,0.423,0.017,0.985,0.007,0.424,0.008
5,0.05,majority_voting,decision_function_mv,0.3,0.98,198.123,2.962,0.426,0.018,0.984,0.007,0.424,0.008
5,0.1,majority_voting,decision_function_mv,0.1,0.94,300.37,0.179,0.521,0.016,0.982,0.012,0.161,0.004
5,0.1,majority_voting,decision_function_mv,0.1,0.96,300.23,0.136,0.52,0.017,0.988,0.009,0.161,0.005
5,0.1,majority_voting,decision_function_mv,0.1,0.98,300.133,0.079,0.533,0.015,0.984,0.011,0.158,0.004
